100-00-5	530.0
100-01-6	1705.0
100-02-7	191.0
100-14-1	1809.0
100-15-2	2000.0
100-17-4	2300.0
100-18-5	3200.0
100-20-9	2500.0
100-21-0	6400.0
100-28-7	1600.0
100-29-8	3300.0
100-35-6	17.0
100-36-7	2830.0
100-37-8	1300.0
100-40-3	2563.0
100-42-5	2650.0
100-44-7	855.0
100-45-8	460.0
100-51-6	1230.0
100-53-8	493.0
100-54-9	1185.0
100-60-7	400.0
100-61-8	749.0
100-63-0	188.0
100-65-2	100.0
100-66-3	3700.0
100-68-5	891.0
100-69-6	100.0
100-73-2	4920.0
100-74-3	1780.0
100-86-7	1280.0
100-87-8	1000.0
100-89-0	4724.0
100-95-8	100.0
1000-70-0	1728.0
10004-44-1	3112.0
100093-45-6	10000.0
1001-55-4	32.0
10017-11-5	150.0
10018-78-7	6500.0
100199-60-8	4860.0
100217-51-4	8000.0
10022-60-3	5620.0
100237-68-1	8000.0
10024-70-1	3030.0
10024-78-9	730.0
10029-04-6	620.0
100299-08-9	687.0
1003-14-1	1460.0
1003-40-3	32.0
1003-52-7	735.0
10031-58-0	540.0
10031-96-6	3400.0
10032-15-2	5000.0
100365-72-8	830.0
1003859-14-0	2000.0
10040-45-6	11300.0
10042-77-0	7460.0
10048-13-2	143.0
100482-70-0	30.0
10049-60-2	4600.0
10049-83-9	6000.0
1005-67-0	338.0
1005-93-2	3.08
100537-30-2	1000.0
10058-20-5	4280.0
100596-38-1	10000.0
10061-01-5	105.0
100678-32-8	359.0
100706-81-8	5000.0
100751-82-4	980.0
10081-67-1	2000.0
10085-81-1	700.0
10086-50-7	5410.0
1009-93-4	500.0
100924-68-3	1300.0
10097-02-6	2000.0
10097-26-4	26000.0
100981-43-9	8000.0
100986-85-4	1478.0
10099-72-6	2830.0
101-02-0	1022.0
101-05-3	3350.0
101-10-0	750.0
101-14-4	1140.0
101-20-2	2000.0
101-25-7	940.0
101-26-8	37.5
101-27-9	1376.0
101-37-1	753.0
101-40-6	83.0
101-41-7	2550.0
101-42-8	6050.0
101-49-5	2200.0
101-50-8	14800.0
101-54-2	720.0
101-70-2	2470.0
101-76-8	1000.0
101-77-9	250.0
101-80-4	725.0
101-81-5	2250.0
101-83-7	373.0
101-84-8	2830.0
101-85-9	4000.0
101-86-0	3100.0
101-87-1	2000.0
101-90-6	2570.0
101-94-0	5000.0
101-97-3	3300.0
101007-06-1	5000.0
101030-71-1	1580.0
101030-72-2	1950.0
101043-37-2	5.0
101152-94-7	213.0
101155-02-6	1000.0
101205-02-1	3940.0
101238-01-1	2000.0
1013-99-6	625.0
10137-69-6	2830.0
10137-80-1	2410.0
10137-87-8	360.0
10137-90-3	8120.0
10138-47-3	2280.0
10138-74-6	4920.0
10138-79-1	190.0
10138-87-1	2940.0
1014-69-3	1695.0
1014-70-6	750.0
1014-98-8	4500.0
10140-75-7	320.0
10140-89-3	160.0
10140-90-6	380.0
10140-93-9	25.0
10140-99-5	1320.0
10141-07-8	2590.0
10141-15-8	3200.0
10141-19-2	1220.0
10143-60-9	34000.0
10143-67-6	3260.0
101463-69-8	4000.0
101477-54-7	307.0
101526-62-9	3200.0
101530-10-3	652.0
1016-46-2	34.0
101670-73-9	7.5
101670-74-0	3.0
101708-01-4	2000.0
101708-02-5	2000.0
101708-05-8	2000.0
10171-78-5	5660.0
10175-31-2	1150.0
10176-39-3	39.01
1018-71-9	2000.0
101827-46-7	4000.0
101893-08-7	1200.0
10193-95-0	405.0
101952-86-7	2000.0
102-01-2	2450.0
102-06-7	217.0
102-09-0	1500.0
102-13-6	5000.0
102-17-0	5000.0
102-20-5	15000.0
102-22-7	5000.0
102-24-9	5160.0
102-27-2	580.0
102-30-7	730.0
102-81-8	1070.0
102-83-0	820.0
102-84-1	178.0
102-85-2	3000.0
1020-35-5	35.0
102071-30-7	400.0
1021-19-8	1750.0
10213-74-8	3730.0
10213-75-9	4920.0
102207-73-8	1000.0
102207-77-2	1500.0
102251-91-2	3000.0
102268-15-5	3353.0
10232-91-4	2460.0
10232-92-5	310.0
10232-93-6	3340.0
10235-09-3	820.0
102366-79-0	2100.0
10238-21-8	20000.0
102394-31-0	1533.0
1024-57-3	15.0
102410-20-8	1500.0
102410-37-7	1000.0
102410-39-9	800.0
102410-40-2	1000.0
1025-15-6	812.0
102518-79-6	15.0
10254-57-6	16000.0
102601-34-3	2000.0
10262-69-8	760.0
10265-92-6	15.0
10265-93-7	5.0
102676-31-3	200.0
10268-78-7	10700.0
10291-28-8	5000.0
103-05-9	2200.0
103-07-1	4850.0
103-09-3	3000.0
103-16-2	3200.0
103-23-1	19100.0
103-24-2	2000.0
103-28-6	2850.0
103-29-7	4518.0
103-33-3	1000.0
103-34-4	4950.0
103-36-6	4000.0
103-37-7	2330.0
103-38-8	5000.0
103-41-3	5455.0
103-44-6	1350.0
103-45-7	5000.0
103-48-0	5200.0
103-50-4	2500.0
103-53-7	5000.0
103-54-8	3300.0
103-56-0	3400.0
103-59-3	5000.0
103-60-6	5000.0
103-63-9	811.0
103-64-0	1250.0
103-65-1	6040.0
103-71-9	870.0
103-74-2	5469.5
103-75-3	6160.0
103-82-2	2250.0
103-83-3	265.0
103-84-4	800.0
103-85-5	3.0
103-90-2	2172.0
103-95-7	3810.0
10305-38-1	2500.0
10305-41-6	2000.0
103079-06-7	5000.0
1031-47-6	20.0
10310-32-4	20000.0
10310-38-0	10000.0
103112-35-2	5000.0
10312-19-3	188.0
10312-20-6	18.0
10326-41-7	4968.0
10329-95-0	8000.0
10329-96-1	8000.0
10331-57-4	10.0
103335-54-2	2000.0
103361-09-7	5000.0
103446-98-6	2380.0
10347-54-3	1600.0
103628-48-4	2939.0
10389-72-7	332.0
103890-78-4	880.0
1039-59-4	1450.0
10397-75-8	16000.0
104-14-3	1240.0
104-15-4	1440.0
104-20-1	5000.0
104-27-8	5000.0
104-40-5	1620.0
104-45-0	4400.0
104-46-1	2090.0
104-50-7	4400.0
104-53-0	5000.0
104-54-1	2000.0
104-55-2	2220.0
104-57-4	1400.0
104-61-0	6600.0
104-62-1	3220.0
104-64-3	4090.0
104-65-4	2900.0
104-66-5	5000.0
104-67-6	18500.0
104-75-6	450.0
104-76-7	2053.0
104-78-9	690.0
104-85-8	3800.0
104-87-0	1600.0
104-89-2	540.0
104-90-5	800.0
104-92-7	1907.0
104-94-9	1360.0
10402-52-5	4300.0
10402-53-6	763.0
104040-78-0	5000.0
10405-02-4	1510.0
10411-92-4	1150.0
10415-87-9	2950.0
10419-79-1	1000.0
10420-33-4	2000.0
104206-82-8	5000.0
10423-37-7	1800.0
10436-39-2	350.0
10443-70-6	1420.0
10447-38-8	440.0
104485-01-0	1030.0
1045-21-2	830.0
10453-86-8	1560.5
104617-50-7	2000.0
104632-26-0	674.0
104653-34-1	0.555
104683-52-5	383.0
1047-16-1	5000.0
10474-14-3	780.0
10484-36-3	5000.0
10486-14-3	5000.0
104902-34-3	256.0
104907-82-6	1825.0
10497-05-9	3440.0
104987-11-3	134.0
105-01-1	1950.0
105-05-5	2000.0
105-11-3	464.0
105-12-4	1020.0
105-16-8	4696.0
105-21-5	5000.0
105-28-2	3170.0
105-30-6	1410.0
105-31-7	126.0
105-34-0	2000.0
105-37-3	8732.0
105-45-3	2980.0
105-46-4	3200.0
105-54-4	13000.0
105-55-5	316.0
105-56-6	2000.0
105-57-7	4600.0
105-64-6	2140.0
105-66-8	15000.0
105-67-9	2750.0
105-75-9	8530.0
105-76-0	3700.0
105-82-8	5000.0
105-85-1	8400.0
105-86-2	6000.0
105-87-3	6330.0
105-90-8	5000.0
105-91-9	5000.0
1050-48-2	760.0
10508-09-5	3350.0
105084-66-0	2081.0
105112-76-3	2000.0
10519-11-6	5000.0
10520-81-7	800.0
105239-91-6	10000.0
10537-47-0	87.0
105426-99-1	5000.0
10543-57-4	4970.0
10543-95-0	190.0
105435-14-1	1000.0
10544-63-5	3000.0
105512-06-9	2235.5
10552-74-6	6400.0
10563-26-5	1200.0
10563-29-8	1669.0
10563-70-9	170.0
105770-83-0	2000.0
105779-78-0	115.0
10589-74-9	560.0
10595-95-6	90.0
105951-93-7	2000.0
106-02-5	5000.0
106-11-6	10000.0
106-20-7	1640.0
106-21-8	5000.0
106-24-1	4085.0
106-25-2	4500.0
106-29-6	10660.0
106-30-9	34640.0
106-31-0	8790.0
106-32-1	25960.0
106-35-4	2760.0
106-43-4	2186.5
106-46-7	3790.0
106-47-8	305.0
106-48-9	829.0
106-49-0	496.0
106-55-8	3160.0
106-63-8	5982.5
106-65-0	5000.0
106-68-3	5000.0
106-69-4	15500.0
106-71-8	180.0
106-73-0	5000.0
106-74-1	1070.0
106-79-6	2000.0
106-87-6	2465.0
106-88-7	900.0
106-89-8	192.5
106-90-1	180.0
106-92-3	1600.0
106-93-4	113.5
106-95-6	160.0
106-99-0	5480.0
106006-84-2	2000.0
106017-08-7	501.0
10605-03-5	1000.0
10605-21-7	8200.0
106065-10-5	5480.0
1062-48-2	1000.0
