name	severity	CID	MolecularFormula	MolecularWeight	CanonicalSMILES	IUPACName	LogP	TPSA	fp
chlorpheniramine	0	2725	C16H19ClN2	274.79	CN(C)CCC(C1=CC=C(C=C1)Cl)C2=CC=CC=N2	3-(4-chlorophenyl)-N,N-dimethyl-3-pyridin-2-ylpropan-1-amine	3.8186000000000027	16.130000000000003	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071c30>
dopamine	0	681	C8H11NO2	153.18	C1=CC(=C(C=C1CCN)O)O	4-(2-aminoethyl)benzene-1,2-diol	0.5989999999999995	66.48	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071b70>
mannitol	0	6251	C6H14O6	182.17	C(C(C(C(C(CO)O)O)O)O)O	(2R,3R,4R,5R)-hexane-1,2,3,4,5,6-hexol	-3.585399999999998	121.38000000000001	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071810>
aspirin	0	2244	C9H8O4	180.16	CC(=O)OC1=CC=CC=C1C(=O)O	2-acetyloxybenzoic acid	1.3101	63.60000000000001	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071330>
aminohippurate	0	2148	C9H10N2O3	194.19	C1=CC(=CC=C1C(=O)NCC(=O)O)N	2-[(4-aminobenzoyl)amino]acetic acid	0.08320000000000022	92.42	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb0f0>
chlorcyclizine	0	2710	C18H21ClN2	300.8	CN1CCN(CC1)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl	1-[(4-chlorophenyl)-phenylmethyl]-4-methylpiperazine	3.6768000000000027	6.48	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071630>
dimercaprol	0	3080	C3H8OS2	124.23	C(C(CS)S)O	2,3-bis(sulfanyl)propan-1-ol	0.20689999999999997	20.23	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb630>
corticotropin	0	16132265	C207H308N56O58S	4541	CC(C)CC(C(=O)NC(CCC(=O)O)C(=O)NC(CC1=CC=CC=C1)C(=O)O)NC(=O)C2CCCN2C(=O)C(CC3=CC=CC=C3)NC(=O)C(C)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)C(CO)NC(=O)C(CCC(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)O)NC(=O)C(C)NC(=O)CNC(=O)C(CC(=O)N)NC(=O)C4CCCN4C(=O)C(CC5=CC=C(C=C5)O)NC(=O)C(C(C)C)NC(=O)C(CCCCN)NC(=O)C(C(C)C)NC(=O)C6CCCN6C(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCCN)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(C(C)C)NC(=O)C7CCCN7C(=O)C(CCCCN)NC(=O)CNC(=O)C(CC8=CNC9=CC=CC=C98)NC(=O)C(CCCNC(=N)N)NC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC1=CN=CN1)NC(=O)C(CCC(=O)O)NC(=O)C(CCSC)NC(=O)C(CO)NC(=O)C(CC1=CC=C(C=C1)O)NC(=O)C(CO)N	(4S)-4-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[2-[[(2S)-4-amino-2-[[(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-2-[[(2S)-1-[(2S)-2-[[(2S)-2-[[(2S)-6-amino-2-[[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-1-[(2S)-6-amino-2-[[2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-[[(2S)-2-amino-3-hydroxypropanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]amino]-3-hydroxypropanoyl]amino]-4-methylsulfanylbutanoyl]amino]-4-carboxybutanoyl]amino]-3-(1H-imidazol-5-yl)propanoyl]amino]-3-phenylpropanoyl]amino]-5-carbamimidamidopentanoyl]amino]-3-(1H-indol-3-yl)propanoyl]amino]acetyl]amino]hexanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]acetyl]amino]hexanoyl]amino]hexanoyl]amino]-5-carbamimidamidopentanoyl]amino]-5-carbamimidamidopentanoyl]pyrrolidine-2-carbonyl]amino]-3-methylbutanoyl]amino]hexanoyl]amino]-3-methylbutanoyl]amino]-3-(4-hydroxyphenyl)propanoyl]pyrrolidine-2-carbonyl]amino]-4-oxobutanoyl]amino]acetyl]amino]propanoyl]amino]-4-carboxybutanoyl]amino]-3-carboxypropanoyl]amino]-4-carboxybutanoyl]amino]-3-hydroxypropanoyl]amino]propanoyl]amino]-5-[[(2S)-1-[[(2S)-1-[(2S)-2-[[(2S)-1-[[(2S)-4-carboxy-1-[[(1S)-1-carboxy-2-phenylethyl]amino]-1-oxobutan-2-yl]amino]-4-methyl-1-oxopentan-2-yl]carbamoyl]pyrrolidin-1-yl]-1-oxo-3-phenylpropan-2-yl]amino]-1-oxopropan-2-yl]amino]-5-oxopentanoic acid	-15.1620900000003	1836.2499999999986	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d38071210>
diphenhydramine	0	3100	C17H21NO	255.35	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	2-benzhydryloxy-N,N-dimethylethanamine	3.3542000000000023	12.47	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d380712d0>
metformin	0	4091	C4H11N5	129.16	CN(C)C(=N)N=C(N)N	3-(diaminomethylidene)-1,1-dimethylguanidine	-1.243829999999999	91.49	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb9f0>
physostigmine	0	5983	C15H21N3O2	275.35	CC12CCN(C1N(C3=C2C=C(C=C3)OC(=O)NC)C)C	[(3aR,8bS)-3,4,8b-trimethyl-2,3a-dihydro-1H-pyrrolo[2,3-b]indol-7-yl] N-methylcarbamate	1.7739	44.81	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb930>
pseudoephedrine	0	7028	C10H15NO	165.23	CC(C(C1=CC=CC=C1)O)NC	(1S,2S)-2-(methylamino)-1-phenylpropan-1-ol	1.3278999999999999	32.26	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbcf0>
streptomycin	0	19649	C21H39N7O12	581.6	CC1C(C(C(O1)OC2C(C(C(C(C2O)O)N=C(N)N)O)N=C(N)N)OC3C(C(C(C(O3)CO)O)O)NC)(C=O)O	2-[(1R,2R,3S,4R,5R,6S)-3-(diaminomethylideneamino)-4-[(2R,3R,4R,5S)-3-[(2S,3S,4S,5R,6S)-4,5-dihydroxy-6-(hydroxymethyl)-3-(methylamino)oxan-2-yl]oxy-4-formyl-4-hydroxy-5-methyloxolan-2-yl]oxy-2,5,6-trihydroxycyclohexyl]guanidine	-8.161100000000014	336.42999999999995	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb750>
theophylline	0	2153	C7H8N4O2	180.16	CN1C2=C(C(=O)N(C1=O)C)NC=N2	1,3-dimethyl-7H-purine-2,6-dione	-1.0397000000000005	72.68	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb7b0>
vancomycin	0	14969	C66H75Cl2N9O24	1449.2	CC1C(C(CC(O1)OC2C(C(C(OC2OC3=C4C=C5C=C3OC6=C(C=C(C=C6)C(C(C(=O)NC(C(=O)NC5C(=O)NC7C8=CC(=C(C=C8)O)C9=C(C=C(C=C9O)O)C(NC(=O)C(C(C1=CC(=C(O4)C=C1)Cl)O)NC7=O)C(=O)O)CC(=O)N)NC(=O)C(CC(C)C)NC)O)Cl)CO)O)O)(C)N)O	(1S,2R,18R,19R,22S,25R,28R,40S)-48-[(2S,3R,4S,5S,6R)-3-[(2S,4S,5S,6S)-4-amino-5-hydroxy-4,6-dimethyloxan-2-yl]oxy-4,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-22-(2-amino-2-oxoethyl)-5,15-dichloro-2,18,32,35,37-pentahydroxy-19-[[(2R)-4-methyl-2-(methylamino)pentanoyl]amino]-20,23,26,42,44-pentaoxo-7,13-dioxa-21,24,27,41,43-pentazaoctacyclo[26.14.2.23,6.214,17.18,12.129,33.010,25.034,39]pentaconta-3,5,8(48),9,11,14,16,29(45),30,32,34(39),35,37,46,49-pentadecaene-40-carboxylic acid	0.10620000000000607	530.4899999999999	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cb6f0>
finasteride	0	57363	C23H36N2O2	372.5	CC12CCC3C(C1CCC2C(=O)NC(C)(C)C)CCC4C3(C=CC(=O)N4)C	(1S,3aS,3bS,5aR,9aR,9bS,11aS)-N-tert-butyl-9a,11a-dimethyl-7-oxo-1,2,3,3a,3b,4,5,5a,6,9b,10,11-dodecahydroindeno[5,4-f]quinoline-1-carboxamide	3.8145000000000024	58.2	<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f0d339cbdb0>
