	1
3470-36-8	0
5328-41-6	0
313-06-4	1
115-31-1	0
2439-07-8	1
1948-33-0	1
2437-29-8	1
118-10-5	0
106-24-1	0
150-30-1	0
143-74-8	1
5424-37-3	0
59-52-9	1
27887-84-9	1
328-50-7	0
440-17-5	1
4995-43-1	1
146-48-5	0
524-36-7	0
138-41-0	0
511-45-5	1
129-74-8	0
630-60-4	1
23249-97-0	0
6266-73-5	0
59-40-5	0
132-17-2	1
6893-02-3	0
68060-64-0	0
97-24-5	1
113-59-7	1
7722-88-5	0
51-56-9	0
114-49-8	0
6106-81-6	0
155-41-9	0
2870-71-5	0
4438-22-6	0
6202-23-9	1
3562-84-3	1
609-36-9	0
4757-55-5	1
113-98-4	0
4408-78-0	0
NOCAS_45108	0
1229-35-2	1
894-71-3	1
3737-33-5	1
NOCAS_45111	1
102280-49-9	0
5588-33-0	0
1824-50-6	0
1847-24-1	0
27007-85-8	1
57808-66-9	1
27199-40-2	0
50892-23-4	1
21256-18-8	0
4880-88-0	1
38029-10-6	0
30516-87-1	0
123-99-9	0
14028-44-5	1
504-24-5	0
60719-82-6	0
968-81-0	0
768-94-5	0
54-62-6	1
179113-91-8	0
56-12-2	0
80809-81-0	1
321-64-2	1
446-86-6	1
59277-89-3	0
50-78-2	0
20537-88-6	0
59-66-5	0
63-75-2	0
2609-46-3	1
60-32-2	0
315-30-0	0
1951-25-3	1
13655-52-2	0
645-05-6	0
72432-10-1	0
59-96-1	1
28395-03-1	0
64706-54-3	1
1134-47-0	0
63659-18-7	0
36505-84-7	1
80-77-3	0
5627-46-3	1
59939-16-1	1
305-03-3	1
154-93-8	0
73963-72-1	1
69-22-7	0
6055-19-2	0
490-46-0	0
94-20-2	0
53-19-0	1
298-46-4	0
95-25-0	0
51481-61-9	1
58-94-6	0
1163-36-6	1
298-57-7	1
6640-24-0	0
23593-75-1	1
129-03-3	1
5786-21-0	1
7424-00-2	0
50-63-5	1
637-07-0	0
303-49-1	1
4205-90-7	0
68550-75-4	1
50-53-3	1
28657-80-9	0
78-44-4	0
3685-84-5	0
2259-96-3	0
67469-78-7	1
34368-04-2	1
58-73-1	0
522-51-0	1
58-28-6	1
1229-29-4	1
67-43-6	1
364-98-7	0
58-32-2	1
2078-54-8	1
304-84-7	0
77671-31-9	0
116-38-1	0
89197-32-0	1
60940-34-3	1
67-42-5	0
1841-19-6	1
80288-49-9	0
54910-89-3	1
25451-15-4	0
69-23-8	1
49562-28-9	1
78755-81-4	0
536-69-6	0
51-21-8	0
54143-55-4	0
67227-56-9	0
76824-35-6	0
13311-84-7	1
72509-76-3	1
29094-61-9	0
60142-96-3	0
10238-21-8	1
29110-48-3	0
82410-32-0	0
446-72-0	1
52-86-8	1
304-20-1	1
118909-22-1	0
58-93-5	0
51-45-6	0
51-61-6	0
127-07-1	0
123-31-9	1
15687-27-1	1
84243-58-3	0
7683-59-2	0
79944-58-4	1
50-49-7	1
